"no","market","code","name","startday","realSearch","flotationNY"
"3289","KOSPI","000020","동화약품","1976-03-24","Y","Y"
"3290","KOSPI","000040","KR모터스","1976-05-25","Y","Y"
"3291","KOSPI","000050","경방","1956-03-03","Y","Y"
"3292","KOSPI","000060","메리츠화재","1956-07-02","Y","Y"
"3293","KOSPI","000070","삼양홀딩스","1968-12-27","Y","Y"
"3294","KOSPI","000075","삼양홀딩스우","1992-02-21","Y","Y"
"3295","KOSPI","000080","하이트진로","2009-10-19","Y","Y"
"3296","KOSPI","000087","하이트진로2우B","2011-09-26","Y","Y"
"3297","KOSPI","000100","유한양행","1962-11-01","Y","Y"
"3298","KOSPI","000105","유한양행우","1995-02-21","Y","Y"
"3299","KOSPI","000120","CJ대한통운","1956-07-02","Y","Y"
"3300","KOSPI","000140","하이트진로홀딩스","1973-09-19","Y","Y"
"3301","KOSPI","000145","하이트진로홀딩스우","1987-09-29","Y","Y"
"3302","KOSPI","000150","두산","1973-06-29","Y","Y"
"3303","KOSPI","000155","두산우","1986-07-31","Y","Y"
"3304","KOSPI","000157","두산2우B","1999-12-03","Y","Y"
"3305","KOSPI","000180","성창기업지주","1976-06-02","Y","Y"
"3306","KOSPI","000210","DL","1976-02-02","Y","Y"
"3307","KOSPI","000215","DL우","1989-08-21","Y","Y"
"3308","KOSPI","000220","유유제약","1975-11-18","Y","Y"
"3309","KOSPI","000225","유유제약1우","1990-01-05","Y","Y"
"3310","KOSPI","000227","유유제약2우B","2000-06-20","Y","Y"
"3311","KOSPI","000230","일동홀딩스","1975-06-28","Y","Y"
"3312","KOSPI","000240","한국앤컴퍼니","1968-12-27","Y","Y"
"3313","KOSPI","000270","기아","1973-07-21","Y","Y"
"3314","KOSPI","000300","대유플러스","1975-06-09","Y","Y"
"3315","KOSPI","000320","노루홀딩스","1973-08-10","Y","Y"
"3316","KOSPI","000325","노루홀딩스우","1989-01-21","Y","Y"
"3317","KOSPI","000370","한화손해보험","1975-06-30","Y","Y"
"3318","KOSPI","000390","삼화페인트","1993-09-10","Y","Y"
"3319","KOSPI","000400","롯데손해보험","1971-04-16","Y","Y"
"3320","KOSPI","000430","대원강업","1977-06-22","Y","Y"
"3321","KOSPI","000480","조선내화","1978-06-30","Y","Y"
"3322","KOSPI","000490","대동","1975-06-27","Y","Y"
"3323","KOSPI","000500","가온전선","1987-06-08","Y","Y"
"3324","KOSPI","000520","삼일제약","1985-05-29","Y","Y"
"3325","KOSPI","000540","흥국화재","1974-12-05","Y","Y"
"3326","KOSPI","000545","흥국화재우","1990-03-20","Y","Y"
"3327","KOSPI","000547","흥국화재2우B","1999-08-09","Y","Y"
"3328","KOSPI","000590","CS홀딩스","1975-12-22","Y","Y"
"3329","KOSPI","000640","동아쏘시오홀딩스","1970-02-10","Y","Y"
"3330","KOSPI","000650","천일고속","1977-06-23","Y","Y"
"3331","KOSPI","000660","SK하이닉스","1996-12-26","Y","Y"
"3332","KOSPI","000670","영풍","1976-06-12","Y","Y"
"3333","KOSPI","000680","LS네트웍스","1973-11-15","Y","Y"
"3334","KOSPI","000700","유수홀딩스","1956-03-03","Y","Y"
"3335","KOSPI","000720","현대건설","1984-12-22","Y","Y"
"3336","KOSPI","000725","현대건설우","1989-09-21","Y","Y"
"3337","KOSPI","000760","이화산업","1994-04-29","Y","Y"
"3338","KOSPI","000810","삼성화재","1975-06-30","Y","Y"
"3339","KOSPI","000815","삼성화재우","1990-04-10","Y","Y"
"3340","KOSPI","000850","화천기공","1999-11-18","Y","Y"
"3341","KOSPI","000860","강남제비스코","1975-11-12","Y","Y"
"3342","KOSPI","000880","한화","1976-06-24","Y","Y"
"3343","KOSPI","000885","한화우","1990-01-22","Y","Y"
"3344","KOSPI","00088K","한화3우B","2016-10-19","Y","Y"
"3345","KOSPI","000890","보해양조","1988-09-23","Y","Y"
"3346","KOSPI","000910","유니온","1996-07-03","Y","Y"
"3347","KOSPI","000950","전방","1968-10-21","Y","Y"
"3348","KOSPI","000970","한국주철관","1969-12-12","Y","Y"
"3349","KOSPI","000990","DB하이텍","1975-12-12","Y","Y"
"3350","KOSPI","000995","DB하이텍1우","2007-05-21","Y","Y"
"3351","KOSPI","001020","페이퍼코리아","1976-06-26","Y","Y"
"3352","KOSPI","001040","CJ","1973-06-29","Y","Y"
"3353","KOSPI","001045","CJ우","1989-08-18","Y","Y"
"3354","KOSPI","00104K","CJ4우(전환)","2019-08-09",\N,"Y"
"3355","KOSPI","001060","JW중외제약","1976-06-14",\N,"Y"
"3356","KOSPI","001065","JW중외제약우","1994-10-21",\N,"Y"
"3357","KOSPI","001067","JW중외제약2우B","1998-04-13",\N,"Y"
"3358","KOSPI","001070","대한방직","1973-12-28",\N,"Y"
"3359","KOSPI","001080","만호제강","1977-06-18",\N,"Y"
"3360","KOSPI","001120","LX인터내셔널","1976-01-30",\N,"Y"
"3361","KOSPI","001130","대한제분","1970-11-25",\N,"Y"
"3362","KOSPI","001140","국보","1989-12-02",\N,"Y"
"3363","KOSPI","001200","유진투자증권","1987-08-24",\N,"Y"
"3364","KOSPI","001210","금호전기","1973-11-15",\N,"Y"
"3365","KOSPI","001230","동국제강","1988-05-09",\N,"Y"
"3366","KOSPI","001250","GS글로벌","1976-06-26",\N,"Y"
"3367","KOSPI","001260","남광토건","1976-12-28",\N,"Y"
"3368","KOSPI","001270","부국증권","1988-07-19",\N,"Y"
"3369","KOSPI","001275","부국증권우","1989-11-10",\N,"Y"
"3370","KOSPI","001290","상상인증권","1988-09-23",\N,"Y"
"3371","KOSPI","001340","백광산업","1976-06-10",\N,"Y"
"3372","KOSPI","001360","삼성제약","1975-07-04",\N,"Y"
"3373","KOSPI","001380","SG글로벌","1976-06-29",\N,"Y"
"3374","KOSPI","001390","KG케미칼","1989-08-25",\N,"Y"
"3375","KOSPI","001420","태원물산","1975-06-24",\N,"Y"
"3376","KOSPI","001430","세아베스틸","1991-03-12",\N,"Y"
"3377","KOSPI","001440","대한전선","1968-12-27",\N,"Y"
"3378","KOSPI","001450","현대해상","1989-08-25",\N,"Y"
"3379","KOSPI","001460","BYC","1975-06-02",\N,"Y"
"3380","KOSPI","001465","BYC우","1989-09-05",\N,"Y"
"3381","KOSPI","001470","삼부토건","1976-06-26",\N,"Y"
"3382","KOSPI","001500","현대차증권","1990-06-09",\N,"Y"
"3383","KOSPI","001510","SK증권","1986-09-20",\N,"Y"
"3384","KOSPI","001515","SK증권우","1989-08-29",\N,"Y"
"3385","KOSPI","001520","동양","1976-06-25",\N,"Y"
"3386","KOSPI","001525","동양우","1989-09-30",\N,"Y"
"3387","KOSPI","001527","동양2우B","1999-01-28",\N,"Y"
"3388","KOSPI","001529","동양3우B","2007-08-03",\N,"Y"
